truck_num,tot_weight
truck0,24600
truck1,8280
truck2,10765
truck3,30020
truck4,21490
truck5,11945
truck6,12155
truck7,3885
truck8,14335
truck9,1645
truck10,3155
truck11,3220
truck12,7070
truck13,680
truck14,15895
truck15,1640
truck16,980
truck17,3805
truck18,10135
truck19,6700
truck20,745
truck21,20705
truck22,10240
truck23,385
truck24,2595
truck25,170
truck26,4110
truck27,555
truck28,17420
truck29,8260
truck30,1105
truck31,875
truck32,8725
truck33,2675
truck34,680
truck35,1295
truck36,545
truck37,995
truck38,9770
truck39,6570
truck40,3055
truck41,100
truck42,8630
truck43,495
truck44,1610
truck45,1170
truck46,2535
truck47,1410
truck48,8815
truck49,5325
truck50,330
truck51,925
truck52,225
