date,truck_num,tot_weight
2020-01-01,truck0,30120
2020-01-01,truck1,2265
2020-01-02,truck0,42245
2020-01-02,truck1,28900
2020-01-02,truck2,35990
2020-01-02,truck3,35575
2020-01-02,truck4,31705
2020-01-02,truck5,16955
2020-01-02,truck6,32325
2020-01-02,truck7,12625
2020-01-02,truck8,12560
2020-01-02,truck9,11390
2020-01-02,truck10,6550
2020-01-02,truck11,9820
2020-01-02,truck12,5905
2020-01-02,truck13,875
2020-01-02,truck14,6340
2020-01-02,truck15,6205
2020-01-02,truck16,705
2020-01-02,truck17,210
2020-01-02,truck18,335
2020-01-03,truck0,31305
2020-01-03,truck1,39320
2020-01-03,truck2,37415
2020-01-03,truck3,27215
2020-01-03,truck4,16525
2020-01-03,truck5,16790
2020-01-03,truck6,17700
2020-01-03,truck7,9155
2020-01-03,truck8,23245
2020-01-03,truck9,23425
2020-01-03,truck10,13610
2020-01-03,truck11,4895
2020-01-03,truck12,16455
2020-01-03,truck13,2090
2020-01-03,truck14,1760
2020-01-03,truck15,3420
2020-01-03,truck16,3465
2020-01-03,truck17,1950
2020-01-03,truck18,85
